,album_id,album_name,release_date,total_tracks,url,album_old
580,1s9tU91VJt4sU5owi29GD3,True,2013-09-13,12,https://open.spotify.com/album/1s9tU91VJt4sU5owi29GD3,3861
581,2gXTTQ713nCELgPOS0qWyt,Nothing Was The Same (Deluxe),2013-01-01,15,https://open.spotify.com/album/2gXTTQ713nCELgPOS0qWyt,4116
582,0TyDTzG2zt2tg0wONT9wSU,679 (feat. Remy Boyz),2015-06-29,1,https://open.spotify.com/album/0TyDTzG2zt2tg0wONT9wSU,3207
583,4QcXq4vTVN7dFb7bZa9jG2,Pharmacy,2015-06-05,13,https://open.spotify.com/album/4QcXq4vTVN7dFb7bZa9jG2,3231
584,2qVN3yVtkrPT9YL7djTNwt,Blurred Lines,2013-01-01,1,https://open.spotify.com/album/2qVN3yVtkrPT9YL7djTNwt,4116
585,2OMDL0qyQF7nk2tRJE8RmD,Mirrors,2013-02-11,1,https://open.spotify.com/album/2OMDL0qyQF7nk2tRJE8RmD,4075
586,4bxl07W8OBOP5PBXI5uhs6,Into The Woods,2011-01-01,4,https://open.spotify.com/album/4bxl07W8OBOP5PBXI5uhs6,4847
587,7iycyHwOW2plljYIK6I1Zo,Some Nights,2012-02-21,12,https://open.spotify.com/album/7iycyHwOW2plljYIK6I1Zo,4431
588,3RDqXDc1bAETps54MSSOW0,Bangerz (Deluxe Version),2013-10-04,16,https://open.spotify.com/album/3RDqXDc1bAETps54MSSOW0,3840
589,0W5GGnapMz0VwemQvJDqa7,+,2011-09-09,12,https://open.spotify.com/album/0W5GGnapMz0VwemQvJDqa7,4596
590,1rzDtYMpZDhRgKNigB467r,Night Visions (Deluxe),2012-09-04,16,https://open.spotify.com/album/1rzDtYMpZDhRgKNigB467r,4235
591,4mchkmnzdTYIEAnw2FijA3,Broccoli,2016-04-06,1,https://open.spotify.com/album/4mchkmnzdTYIEAnw2FijA3,2925
592,58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,2012-12-07,10,https://open.spotify.com/album/58ufpQsJ1DS5kq4hhzQDiI,4141
593,7p1fX8aUySrBdx4WSYspOu,Midnight Memories (Deluxe),2013-11-25,18,https://open.spotify.com/album/7p1fX8aUySrBdx4WSYspOu,3788
594,0zt41iQaqe4tyVknMwNNps,Levels,2011-01-01,1,https://open.spotify.com/album/0zt41iQaqe4tyVknMwNNps,4847
595,1E1eyI5uGllppJZCxNoF9w,LONG.LIVE.A$AP (Deluxe Version),2013-01-11,16,https://open.spotify.com/album/1E1eyI5uGllppJZCxNoF9w,4106
596,2HaqChIDc5go3qxVunBDK0,Funk Wav Bounces Vol.1,2017-06-30,10,https://open.spotify.com/album/2HaqChIDc5go3qxVunBDK0,2475
597,15qLmAABocTCRBSbWWqL7K,iSpy (feat. Lil Yachty),2016-12-02,1,https://open.spotify.com/album/15qLmAABocTCRBSbWWqL7K,2685
